ParticipantName,TeamName,Position,Accurate long balls per 90,Accurate passes per 90,Assists,Big chances created,Big chances missed,Blocks per 90,Chances created,Clean sheets,Clearances per 90,Expected assist (xA),Expected assist (xA) per 90,Expected goals (xG),Expected goals (xG) per 90,Expected goals on target (xGOT),Fouls committed per 90,Goals conceded per 90,Goals per 90,Goals prevented,Interceptions per 90,Penalties conceded,Penalties won,Possession won final 3rd per 90,Red cards,Save percentage,Saves per 90,Shots on target per 90,Successful dribbles per 90,Top scorer,Yellow cards
Dzenan Pejcinovic,VfL Wolfsburg,ATT,0.9,12.9,,,4.0,0.1,4.0,,1.0,0.2,0.02,4.4,0.51,4.6,1.0,,0.58,,,1.0,,0.5,,,,1.4,0.3,5.0,1.0
Edmond Tapsoba,Bayer 04 Leverkusen,DEF,3.1,81.6,2.0,2.0,1.0,0.7,7.0,,4.0,0.6,0.04,1.2,0.08,2.2,0.8,,0.21,,0.8,,,0.1,,,,0.3,0.3,3.0,3.0
El Chadaille Bitshiabu,RB Leipzig,DEF,,,,,,,1.0,,,0.1,,0.1,,,,,,,,,,,,,,,,,
Elias Baum,Eintracht Frankfurt,DEF,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Elias Saad,FC Augsburg,ATT,0.2,21.8,,,1.0,0.2,12.0,,0.4,0.4,0.07,0.5,0.09,0.4,1.4,,,,0.2,,,1.3,,,,0.5,2.7,,1.0
Eliesse Ben Seghir,Bayer 04 Leverkusen,ATT,,,,2.0,,,5.0,,,0.9,,0.1,,0.3,,,,,,,,,,,,,,,2.0
Ellyes Skhiri,Eintracht Frankfurt,MID,2.0,44.1,,,2.0,0.2,5.0,,1.4,0.4,0.04,0.3,0.03,,0.8,,,,1.8,,,0.2,1.0,,,,0.2,,
Elvis Rexhbecaj,FC Augsburg,MID,1.0,25.1,,1.0,,,8.0,,1.4,1.0,0.11,0.4,0.04,0.9,1.2,,0.1,,0.4,,,0.9,,,,0.3,0.4,1.0,4.0
Elye Wahi,Eintracht Frankfurt,ATT,,18.6,1.0,1.0,6.0,0.3,4.0,,,0.1,0.04,0.8,0.22,0.5,0.6,,,,,,,,,,,0.8,0.3,,1.0
Emir Sahiti,Hamburger SV,ATT,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
Emre Can,Borussia Dortmund,DEF,,,,,,,,,,0.4,,2.4,,2.9,,,,,,,,,,,,,,3.0,3.0
Equi Fernandez,Bayer 04 Leverkusen,MID,2.8,66.2,,1.0,,0.3,4.0,,1.8,0.8,0.13,0.4,0.07,0.3,1.5,,,,1.3,,,0.5,1.0,,,0.2,1.2,,1.0
Eren Dinkci,1. FC Heidenheim 1846,ATT,,,1.0,,2.0,,2.0,,,0.3,,0.7,,0.4,,,,,,,,,,,,,,,
Eren Dinkci,Sport-Club Freiburg,ATT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Eric Martel,1. FC Köln,DEF,1.0,44.9,2.0,4.0,,0.9,11.0,,5.0,0.9,0.05,0.8,0.04,0.6,1.6,,0.06,,1.2,,,0.2,,,,0.1,0.1,1.0,6.0
Eric Smith,FC St. Pauli,DEF,3.6,53.0,2.0,,1.0,0.7,10.0,,3.8,0.7,0.04,0.5,0.03,1.2,0.6,,0.11,,0.9,2.0,,0.1,1.0,,,0.3,0.5,2.0,3.0
Ermedin Demirovic,VfB Stuttgart,ATT,0.1,9.9,1.0,,4.0,0.1,7.0,,1.0,0.9,0.13,2.9,0.41,4.9,2.5,,0.7,,0.1,,1.0,0.6,,,,1.1,0.4,5.0,2.0
Ernest Poku,Bayer 04 Leverkusen,ATT,0.5,27.0,3.0,2.0,4.0,,18.0,,0.7,2.4,0.22,2.6,0.24,1.9,0.3,,0.36,,0.5,,,0.3,,,,0.6,1.4,4.0,
Exequiel Palacios,Bayer 04 Leverkusen,MID,,,,,,,1.0,,,0.1,,0.1,,,,,,,,,,,,,,,,,
Ezechiel Banzuzi,RB Leipzig,MID,1.8,40.5,1.0,,1.0,0.7,5.0,,5.5,0.2,0.05,0.6,0.15,0.2,1.8,,,,1.1,,,,,,,0.7,0.5,,2.0
Fabian Rieder,FC Augsburg,ATT,1.0,19.1,2.0,3.0,,0.1,17.0,,0.3,2.1,0.14,2.7,0.19,3.2,1.8,,0.2,,0.5,,,0.6,,,,0.5,1.0,3.0,2.0
Fabio Balde,Hamburger SV,ATT,0.3,15.5,1.0,2.0,,,4.0,,0.6,0.3,0.08,0.4,0.11,0.4,0.9,,,,,,,,,,,0.9,2.7,,
Fabio Chiarodia,Borussia Mönchengladbach,DEF,,,,,,,,,,0.1,,0.0,,,,,,,,,,,,,,,,,
Fabio Moreno Fell,1. FSV Mainz 05,ATT,,,,,,,,,,0.0,,0.1,,,,,,,,,,,,,,,,,
Fabio Silva,Borussia Dortmund,ATT,,22.1,4.0,2.0,,0.2,11.0,,,1.1,0.25,0.6,0.14,0.1,1.8,,,,0.4,,,0.9,,,,0.4,1.6,,1.0
Fabio Vieira,Hamburger SV,MID,2.9,28.9,3.0,3.0,1.0,0.2,20.0,,1.0,1.5,0.14,2.6,0.24,1.9,1.0,,0.18,,0.5,,,0.2,2.0,,,0.6,1.0,2.0,1.0
Fares Chaibi,Eintracht Frankfurt,MID,1.1,30.2,7.0,6.0,2.0,0.2,24.0,,1.3,1.8,0.15,1.5,0.12,1.3,0.8,,0.08,,0.7,,,0.9,,,,0.4,0.4,1.0,1.0
Felipe Chavez,Bayern München,MID,,,,,,,1.0,,,0.4,,0.0,,,,,,,,,,,,,,,,,
Felix Agu,SV Werder Bremen,MID,,,,,,,5.0,,,0.4,,0.0,,0.0,,,,,,,,,,,,,,,1.0
Felix Nmecha,Borussia Dortmund,MID,1.7,37.4,3.0,2.0,1.0,0.2,14.0,,1.0,3.3,0.2,1.2,0.07,1.5,1.1,,0.12,,1.3,,,0.4,,,,0.2,1.3,2.0,
Filippo Mane,Borussia Dortmund,DEF,,,,,,,,,,0.2,,,,,,,,,,1.0,,,1.0,,,,,,
Finn Dahmen,FC Augsburg,GK,,28.9,,1.0,,,3.0,3.0,1.6,0.2,0.01,,,,,1.9,,-3.1,,,,,,58.0,2.6,,,,
Finn Jeltsch,VfB Stuttgart,DEF,1.1,55.9,1.0,,,0.9,5.0,,4.7,0.2,0.02,0.1,0.01,,0.8,,,,1.2,1.0,,,,,,,0.3,,3.0
Fisnik Asllani,TSG 1899 Hoffenheim,ATT,0.3,16.6,3.0,4.0,4.0,,22.0,,0.8,1.8,0.12,5.1,0.35,5.1,1.0,,0.42,,0.3,,1.0,1.1,,,,1.0,0.6,6.0,1.0
Florian Kainz,1. FC Köln,ATT,3.1,47.3,,,2.0,,7.0,,1.5,0.4,0.16,0.7,0.28,1.2,1.2,,0.38,,1.5,,,0.8,,,,1.2,1.2,1.0,
Florian Neuhaus,Borussia Mönchengladbach,ATT,2.1,37.2,1.0,1.0,,0.4,7.0,,1.1,1.5,0.15,1.0,0.1,0.4,0.9,,,,0.9,,,0.5,,,,0.5,0.6,,
Forzan Assan Ouedraogo,RB Leipzig,MID,0.6,22.7,3.0,6.0,1.0,0.4,8.0,,1.3,1.6,0.23,2.0,0.29,2.8,0.6,,0.44,,0.4,,,0.6,,,,1.3,1.6,3.0,
Franck Honorat,Borussia Mönchengladbach,ATT,0.3,18.6,5.0,5.0,1.0,0.2,23.0,,1.2,3.9,0.34,0.6,0.05,0.4,0.8,,,,0.3,,1.0,0.4,,,,0.3,1.0,,
Frederik Rønnow,1. FC Union Berlin,GK,,17.0,,,,,2.0,4.0,0.8,0.1,0.0,,,,0.1,1.7,,-2.1,,1.0,,,,62.9,2.8,,,,1.0
Fynn Schenten,1. FC Köln,ATT,,,,,,,1.0,,,0.2,,0.0,,,,,,,,,,,,,,,,,
Gian-Luca Waldschmidt,1. FC Köln,ATT,2.0,23.9,2.0,3.0,3.0,0.2,8.0,,0.7,0.7,0.15,3.3,0.73,3.0,0.4,,0.67,,,,,0.4,,,,1.6,0.4,3.0,
Giorgi Gocholeishvili,Hamburger SV,MID,1.7,18.6,,,1.0,0.1,9.0,,2.1,0.4,0.05,0.6,0.08,0.1,1.4,,,,0.5,,,0.4,1.0,,,0.2,1.4,,1.0
Giovanni Reyna,Borussia Mönchengladbach,ATT,2.3,39.5,,,,0.2,6.0,,1.4,1.2,0.27,0.3,0.06,0.0,1.1,,,,0.9,,,0.7,,,,0.2,1.6,,1.0
Grant-Leon Ranos,Borussia Mönchengladbach,ATT,,,,,,,1.0,,,0.1,,0.5,,1.1,,,,,,,,,,,,,,1.0,1.0
Gregor Kobel,Borussia Dortmund,GK,,22.2,,,,,,10.0,0.6,0.1,0.0,,,,,1.0,,2.8,,,,,,72.5,2.5,,,,2.0
Grischa Prömel,TSG 1899 Hoffenheim,MID,1.5,41.2,2.0,1.0,4.0,0.4,11.0,,2.7,1.6,0.14,3.2,0.3,4.1,0.9,,0.55,,0.8,,,0.7,,,,0.7,0.4,6.0,2.0
Guilherme Ramos,Hamburger SV,DEF,,,,,,,1.0,,,0.0,,0.2,,0.1,,,,,,,,,,,,,,,
Han-Noah Massengo,FC Augsburg,MID,0.9,36.5,1.0,3.0,1.0,0.3,11.0,,1.8,1.1,0.06,1.0,0.06,1.4,0.8,,0.11,,1.3,,,0.7,,,,0.2,0.9,2.0,1.0
Haris Tabakovic,Borussia Mönchengladbach,ATT,0.1,12.5,2.0,,6.0,0.2,10.0,,2.4,0.5,0.03,9.6,0.62,11.0,1.8,,0.65,,,,,0.3,,,,1.1,0.3,10.0,
Harry Kane,Bayern München,ATT,3.4,24.0,4.0,10.0,10.0,0.2,26.0,,1.4,2.8,0.15,15.7,0.87,18.8,0.9,,1.23,,0.3,,2.0,0.4,,,,2.3,1.2,22.0,1.0
Hauke Wahl,FC St. Pauli,DEF,2.4,50.1,,,1.0,0.4,3.0,,5.0,0.7,0.04,0.4,0.02,1.0,0.5,,0.06,,0.7,1.0,,0.1,,,,0.2,,1.0,
Hennes Behrens,1. FC Heidenheim 1846,DEF,,,,1.0,,,1.0,,,0.5,,0.0,,,,,,,,,,,,,,,,,
Hiroki Ito,Bayern München,DEF,,,2.0,1.0,1.0,,4.0,,,0.6,,0.8,,1.0,,,,,,,,,,,,,,1.0,
Hugo Larsson,Eintracht Frankfurt,MID,2.5,39.2,2.0,,,0.1,8.0,,0.8,0.5,0.06,0.8,0.09,1.1,0.5,,0.11,,1.1,1.0,,0.1,,,,0.2,0.2,1.0,
Ibrahim Maza,Bayer 04 Leverkusen,ATT,1.1,48.1,2.0,3.0,1.0,0.1,8.0,,0.4,1.3,0.15,1.6,0.18,2.5,0.8,,0.22,,1.3,,,0.3,,,,0.8,2.1,2.0,1.0
Igor Matanovic,Sport-Club Freiburg,ATT,0.3,12.7,,2.0,2.0,0.2,5.0,,3.1,0.3,0.04,5.7,0.93,5.3,3.6,,0.81,,0.8,,,0.2,,,,1.8,0.8,5.0,
Ihlas Bebou,TSG 1899 Hoffenheim,ATT,,17.2,,2.0,1.0,0.7,2.0,,1.4,0.7,0.46,0.5,0.35,0.6,2.1,,,,2.1,,,1.4,,,,1.4,1.4,,1.0
Ikoma Lois Openda,RB Leipzig,ATT,,,,,,,1.0,,,0.3,,0.1,,,,,,,,,,,,,,,,,
Ilyas Ansah,1. FC Union Berlin,ATT,0.2,10.9,1.0,1.0,2.0,0.1,12.0,,0.9,0.9,0.06,2.6,0.18,2.6,1.0,,0.34,,0.3,,,0.5,,,,0.5,1.4,5.0,
Immanuel Pherai,Hamburger SV,MID,,,,,,,,,,0.0,,0.0,,,,,,,,,,,1.0,,,,,,
Isaac Schmidt,SV Werder Bremen,DEF,0.8,36.6,,,,,7.0,,2.9,0.6,0.13,1.0,0.2,1.1,1.4,,0.21,,1.2,,,0.4,,,,0.4,1.2,1.0,1.0
Isak Bergmann Johannesson,1. FC Köln,MID,2.7,36.9,,1.0,,0.2,19.0,,0.9,2.6,0.21,0.6,0.05,0.9,0.6,,0.08,,0.2,,,0.1,,,,0.1,0.2,1.0,3.0
Isak Hansen-Aarøen,SV Werder Bremen,MID,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Ismaël Gharbi,FC Augsburg,ATT,,,,,,,1.0,,,0.1,,0.2,,,,,,,,,,,,,,,,,
Jackson Irvine,FC St. Pauli,MID,0.9,28.4,,1.0,,0.7,4.0,,2.7,0.6,0.11,0.5,0.09,0.8,0.9,,,,1.8,,,,,,,0.4,0.7,,
Jae-Sung Lee,1. FSV Mainz 05,ATT,0.9,20.1,2.0,7.0,2.0,,17.0,,1.6,2.4,0.14,1.8,0.11,2.3,0.9,,0.12,,1.1,,1.0,0.4,,,,0.3,0.2,2.0,2.0
Jahmai Simpson-Pusey,1. FC Köln,DEF,,,,,,,1.0,,,0.0,,0.2,,0.1,,,,,,,,,,,,,,,
Jakub Kaminski,1. FC Köln,ATT,0.7,23.5,1.0,7.0,1.0,0.3,26.0,,1.3,2.8,0.14,3.6,0.18,5.3,0.4,,0.25,,0.6,,,0.5,,,,0.7,0.6,5.0,
Jamal Musiala,Bayern München,ATT,,,1.0,,,,2.0,,,0.1,,0.1,,0.2,,,,,,,,,,,,,,,
James Sands,FC St. Pauli,MID,1.0,32.2,,2.0,,0.3,8.0,,1.5,0.6,0.04,0.6,0.03,0.8,1.3,,0.06,,1.6,,,0.2,,,,0.2,0.1,1.0,4.0
Jamie Leweling,VfB Stuttgart,ATT,0.4,20.4,5.0,4.0,,0.1,26.0,,0.8,3.1,0.19,2.6,0.16,3.4,0.7,,0.25,,0.7,1.0,,0.7,,,,0.8,1.3,4.0,4.0
Jan Buerger,VfL Wolfsburg,DEF,,,,,,,2.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,
Jan Schöppner,1. FC Heidenheim 1846,MID,1.1,18.7,1.0,3.0,,0.4,6.0,,3.6,0.6,0.04,0.9,0.06,1.7,1.1,,0.07,,1.3,1.0,,0.3,,,,0.3,0.7,1.0,4.0
Jan Thielmann,1. FC Köln,ATT,1.1,15.9,1.0,1.0,2.0,0.2,7.0,,2.5,0.5,0.04,1.7,0.14,2.6,0.6,,0.16,,0.9,,,0.2,,,,0.7,0.2,2.0,2.0
Jan Urbich,Borussia Mönchengladbach,Code_3,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,
Jan-Niklas Beste,Sport-Club Freiburg,ATT,0.9,18.3,2.0,2.0,3.0,,26.0,,1.2,3.0,0.26,1.5,0.13,0.9,0.9,,,,0.9,,,0.3,,,,0.5,0.5,,4.0
Janik Haberer,1. FC Union Berlin,MID,1.8,25.3,1.0,3.0,1.0,0.1,17.0,,2.1,2.0,0.17,0.6,0.05,0.7,1.3,,,,0.5,,,0.5,,,,0.1,0.4,,5.0
Janis Blaswich,Bayer 04 Leverkusen,GK,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,
Jarell Quansah,Bayer 04 Leverkusen,DEF,2.0,59.0,,1.0,2.0,0.5,7.0,,4.3,0.7,0.05,0.6,0.04,1.5,0.8,,0.07,,1.1,,,0.1,,,,0.3,0.9,1.0,6.0
Jean Bahoya,Eintracht Frankfurt,ATT,0.6,23.1,1.0,3.0,,,15.0,,1.1,1.8,0.23,1.5,0.19,1.4,1.1,,0.25,,1.0,,,0.5,,,,0.5,1.8,2.0,
Jean-Luc Dompe,Hamburger SV,ATT,0.5,18.0,,6.0,,,29.0,,,3.6,0.33,1.2,0.11,1.6,0.2,,0.18,,,,,0.3,,,,0.8,1.7,2.0,
Jeanuël Belocian,Bayer 04 Leverkusen,DEF,,,,,1.0,,1.0,,,0.2,,0.3,,,,,,,,1.0,,,,,,,,,
Jeff Chabot,VfB Stuttgart,DEF,3.8,65.0,,,2.0,0.8,4.0,,7.1,0.5,0.03,0.8,0.05,0.8,1.4,,,,1.6,1.0,,0.3,,,,0.3,0.3,,1.0
Jeffrey Gouweleeuw,FC Augsburg,DEF,,,,,,,2.0,,,0.6,,0.1,,0.2,,,,,,1.0,,,,,,,,,2.0
Jens Castrop,Borussia Mönchengladbach,ATT,1.1,18.8,,,3.0,,9.0,,1.5,0.8,0.09,1.5,0.17,1.3,2.3,,0.11,,1.0,,,0.1,1.0,,,0.5,1.4,1.0,1.0
Jens Stage,SV Werder Bremen,MID,2.2,31.6,1.0,3.0,1.0,0.5,14.0,,1.6,2.1,0.12,3.4,0.2,4.6,1.1,,0.35,,0.6,,,0.4,,,,0.7,0.5,6.0,4.0
Jenson Seelt,VfL Wolfsburg,DEF,,,,,1.0,,,,,0.1,,0.2,,,,,,,,1.0,,,,,,,,,
Jeremy Arevalo,VfB Stuttgart,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Jesper Lindstrøm,VfL Wolfsburg,ATT,,,,1.0,,,2.0,,,0.1,,0.3,,0.2,,,,,,,,,,,,,,,1.0
Jessic Ngankam,Eintracht Frankfurt,ATT,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
Joakim Mæhle,VfL Wolfsburg,DEF,,,1.0,3.0,1.0,,6.0,,,1.1,,0.4,,0.3,,,,,,1.0,,,,,,,,,
Jobe Bellingham,Borussia Dortmund,MID,2.7,47.2,1.0,1.0,,0.4,4.0,,1.5,0.6,0.08,0.6,0.07,0.5,1.0,,,,2.3,,,0.6,1.0,,,0.2,0.7,,1.0
Joel Chima Fujita,FC St. Pauli,MID,1.4,32.3,3.0,5.0,,0.1,24.0,,0.7,3.3,0.17,0.7,0.03,0.3,1.3,,,,1.2,,,0.7,,,,0.1,1.3,,3.0
Joel Schmied,1. FC Köln,DEF,1.1,33.6,,,,0.9,2.0,,3.8,0.2,0.02,0.2,0.02,,1.4,,,,1.0,,,0.1,,,,,,,4.0
Johan Bakayoko,RB Leipzig,ATT,0.3,25.8,,,2.0,,8.0,,0.4,1.0,0.13,1.5,0.21,1.3,1.2,,0.27,,0.1,,1.0,0.4,,,,0.9,1.9,2.0,1.0
Johan Manzambi,Sport-Club Freiburg,MID,1.4,34.9,2.0,3.0,1.0,0.1,13.0,,1.5,2.8,0.19,1.9,0.13,1.5,1.1,,0.2,,1.3,,1.0,0.5,1.0,,,0.4,1.4,3.0,4.0
Jonas Föhrenbach,1. FC Heidenheim 1846,DEF,0.7,20.5,1.0,3.0,,0.2,20.0,,3.2,2.6,0.14,0.5,0.03,0.9,0.7,,0.05,,1.1,,,0.2,,,,0.1,0.1,1.0,3.0
Jonas Hofmann,Bayer 04 Leverkusen,ATT,1.6,41.0,1.0,4.0,1.0,,12.0,,1.5,1.6,0.18,1.3,0.15,2.7,0.5,,0.23,,0.2,,1.0,0.6,,,,0.7,0.6,2.0,2.0
Jonas Meffert,Hamburger SV,MID,,,,,,,2.0,,,0.5,,,,,,,,,,,,,,,,,,,
Jonas Urbig,Bayern München,GK,,,,,,,,3.0,,0.0,,,,,,,,,,,,,,,,,,,
Jonas Wind,VfL Wolfsburg,ATT,,,,,2.0,,4.0,,,0.3,,0.8,,0.7,,,,,,,,,,,,,,,1.0
Jonathan Burkardt,Eintracht Frankfurt,ATT,0.8,11.7,,,4.0,,6.0,,0.4,0.4,0.05,6.0,0.79,5.2,1.1,,1.05,,0.1,,1.0,0.3,,,,1.6,0.7,8.0,1.0
Jonathan Tah,Bayern München,DEF,2.0,82.0,1.0,1.0,1.0,0.7,5.0,,4.9,0.9,0.06,0.7,0.04,2.4,1.2,,0.13,,1.2,,,,,,,0.3,0.1,2.0,3.0
Jordan Torunarigha,Hamburger SV,DEF,2.4,50.6,,,,0.6,1.0,,7.4,0.5,0.06,0.0,0.0,0.0,1.1,,,,1.5,,,,,,,0.1,0.5,,1.0
Jordy Makengo,Sport-Club Freiburg,DEF,1.2,28.6,,,,0.9,3.0,,3.3,0.5,0.05,,,,1.0,,,,0.7,1.0,,0.1,,,,,0.6,,1.0
Joseph Scally,Borussia Mönchengladbach,DEF,0.9,25.5,2.0,2.0,2.0,0.1,7.0,,2.8,1.0,0.06,1.0,0.06,1.5,1.2,,0.06,,0.8,,,0.2,,,,0.4,0.7,1.0,5.0
Josha Vagnoman,VfB Stuttgart,DEF,0.8,29.0,3.0,3.0,5.0,0.1,16.0,,2.4,1.8,0.13,2.9,0.2,2.1,1.0,,0.07,,0.2,,1.0,0.1,,,,0.8,0.3,1.0,3.0
Joshua Kimmich,Bayern München,MID,7.3,99.3,5.0,11.0,1.0,0.1,32.0,,0.7,5.6,0.42,1.9,0.14,1.3,0.3,,0.07,,0.7,1.0,,0.4,,,,0.4,0.5,1.0,4.0
Josip Juranovic,1. FC Union Berlin,MID,,,,2.0,,,9.0,,,0.9,,0.1,,,,,,,,,,,,,,,,,1.0
Josip Stanisic,Bayern München,DEF,1.7,59.8,2.0,1.0,,0.3,9.0,,3.2,1.7,0.17,1.0,0.11,1.1,0.4,,0.2,,0.7,,,0.4,,,,0.2,0.1,2.0,1.0
Jovan Milosevic,SV Werder Bremen,ATT,,,,,,,,,,0.3,,0.4,,0.3,,,,,,,,,,,,,,1.0,1.0
Julian Brandt,Borussia Dortmund,ATT,1.1,30.8,2.0,4.0,2.0,,18.0,,0.8,2.7,0.26,4.3,0.42,4.6,0.2,,0.48,,0.3,,,0.9,,,,1.2,1.1,5.0,
Julian Malatini,SV Werder Bremen,DEF,,,,,,,2.0,,,0.3,,0.0,,,,,,,,,,,,,,,,,2.0
Julian Niehues,1. FC Heidenheim 1846,MID,2.1,33.6,,1.0,1.0,0.2,3.0,,2.7,0.7,0.08,1.0,0.1,1.8,0.7,,0.32,,1.5,,,0.2,,,,0.5,0.4,3.0,1.0
Julian Ryerson,Borussia Dortmund,MID,1.4,32.1,6.0,9.0,,0.2,25.0,,1.8,3.6,0.28,0.5,0.04,,0.8,,,,0.6,,,0.7,,,,,0.8,,4.0
Justin Njinmah,SV Werder Bremen,ATT,0.2,13.9,,1.0,3.0,,6.0,,0.6,0.4,0.04,4.1,0.35,4.6,0.5,,0.34,,0.3,,,0.8,,,,1.0,0.9,4.0,1.0
